Species,TaxonCode,Limit,Tags,Region,Months,MinRating,MaxPerObserver,LowQualityFrac,Notes
Snow Goose,snogoo,25,Geese photo,,,2,,,
Ross’s Goose,rosgoo,25,Geese photo,,,2,,,
