Species,TaxonCode,Limit,Tags,QueryParams
Horned Grebe,horgre,50,Grebes photo,beginMonth=11&endMonth=2&regionCode=US
Eared Grebe,eargre,50,Grebes photo,beginMonth=11&endMonth=2&regionCode=US
