ML_ID,Species,Tags
390816411,Ring-Necked Duck,Ducks photo flying
611026083,Ring-Necked Duck,Ducks photo flying
315338961,Ring-Necked Duck,Ducks photo flying
628314192,Ring-Necked Duck,Ducks photo flying
393198931,Ring-Necked Duck,Ducks photo flying
277080391,Ring-Necked Duck,Ducks photo flying
641131520,Ring-Necked Duck,Ducks photo flying
210676951,Ring-Necked Duck,Ducks photo flying
218752441,Ring-Necked Duck,Ducks photo flying
523155241,Ring-Necked Duck,Ducks photo flying
379053371,Greater Scaup,Ducks photo flying
429588051,Greater Scaup,Ducks photo flying
556125131,Greater Scaup,Ducks photo flying
631415579,Greater Scaup,Ducks photo flying
206001131,Greater Scaup,Ducks photo flying
310601501,Greater Scaup,Ducks photo flying
631415591,Greater Scaup,Ducks photo flying
547023091,Greater Scaup,Ducks photo flying
638124998,Greater Scaup,Ducks photo flying
644624601,Greater Scaup,Ducks photo flying
631380380,Greater Scaup,Ducks photo flying
634748399,Greater Scaup,Ducks photo flying
549314361,Lesser Scaup,Ducks photo flying
449811711,Lesser Scaup,Ducks photo flying
545358911,Lesser Scaup,Ducks photo flying
428586621,Lesser Scaup,Ducks photo flying
279379331,Lesser Scaup,Ducks photo flying
402128111,Lesser Scaup,Ducks photo flying
402128091,Lesser Scaup,Ducks photo flying
518959281,Lesser Scaup,Ducks photo flying
436202011,Lesser Scaup,Ducks photo flying
402127911,Lesser Scaup,Ducks photo flying
548197611,Lesser Scaup,Ducks photo flying
549314351,Lesser Scaup,Ducks photo flying
622388677,Long-Tailed Duck,Ducks photo flying
611734140,Long-Tailed Duck,Ducks photo flying
205186751,Long-Tailed Duck,Ducks photo flying
478815421,Long-Tailed Duck,Ducks photo flying
634584333,Long-Tailed Duck,Ducks photo flying
478815411,Long-Tailed Duck,Ducks photo flying
205669961,Long-Tailed Duck,Ducks photo flying
640155058,Long-Tailed Duck,Ducks photo flying
625893397,Black Scoter,Ducks photo flying
183633751,Black Scoter,Ducks photo flying
614164430,Black Scoter,Ducks photo flying
571885931,Black Scoter,Ducks photo flying
206205291,Black Scoter,Ducks photo flying
617478053,Black Scoter,Ducks photo flying
122856551,Black Scoter,Ducks photo flying
632062484,Black Scoter,Ducks photo flying
618789933,Surf Scoter,Ducks photo flying
612941671,Surf Scoter,Ducks photo flying
279667541,Surf Scoter,Ducks photo flying
606175531,Surf Scoter,Ducks photo flying
178651651,Surf Scoter,Ducks photo flying
629744410,Surf Scoter,Ducks photo flying
612941670,Surf Scoter,Ducks photo flying
279667531,Surf Scoter,Ducks photo flying
615383636,White-Winged Scoter,Ducks photo flying
625047776,White-Winged Scoter,Ducks photo flying
310601891,White-Winged Scoter,Ducks photo flying
627369421,White-Winged Scoter,Ducks photo flying
625047769,White-Winged Scoter,Ducks photo flying
606175521,White-Winged Scoter,Ducks photo flying
629348041,White-Winged Scoter,Ducks photo flying
273854561,White-Winged Scoter,Ducks photo flying
